shirt_num,shirt_code,avg_pre,avg_dom,avg_comp,avg_ple,avg_int,avg_sexiness,avg_extraversion,avg_critical,avg_dp,avg_ax,avg_open,filter_$,Ztest,Zavg_ple,Zavg_dom,Zavg_pre,Zavg_ax,Zavg_dp,Zav_int,test,IPIP.score,AMS.dominance,AMS.competitiveness,AMS.prestige,dominance.UBC.self,prestige.UBC.self,E5,A5,C5,N5,O5
2284,37,4.353960396,3.233910891,3.680693069,4.185643564,2.908415842,3.232673267,4.215346535,3.351485149,4.601485149,3.274752475,4.321782178,0,-1.678592829,0.982093324,-1.079970495,0.695915724,-1.26654977,0.80012244,-1.391994956,0,0,0,0,0,0,0,4,4,4,4,4
2111,4,4.156976744,3.13372093,3.784883721,4.01744186,3.261627907,3.046511628,4.075581395,3.959302326,4.424418605,3.459302326,4.348837209,1,-1.438867864,0.705815429,-1.446135286,0.292051001,-0.691419826,0.309603946,-0.829853932,14.91,0.4,3.285714286,2.571428571,3.857142857,3,5.111111111,5.5,4,4,4.5,5
laura24,17,3.764150943,3.419811321,3.933962264,3.382075472,3.504716981,2.570754717,3.971698113,3.683962264,4.320754717,3.551886792,3.990566038,1,-1.415715352,-0.337798783,-0.40055919,-0.513338084,-0.402890204,0.022429119,-0.442974902,16.35,0.8,3.714285714,3.714285714,3.714285714,3,5.333333333,5,3,5.5,4,4.5
2008,8,4.25,3.599056604,4.136792453,3.990566038,4.839622642,3.273584906,4.745283019,4.009433962,4.377358491,3.679245283,4.528301887,1,-1.394009873,0.661670837,0.254529513,0.482771455,-0.005991039,0.179235692,1.681542659,17.7,0.6,4.142857143,2.714285714,3.571428571,5.5,7,5.5,5,5,6,6.5
2186,23,4.090909091,3.392045455,3.892045455,3.818181818,3.25,2.931818182,4.352272727,3.761363636,4.590909091,3.431818182,4.556818182,1,-0.921634321,0.378522995,-0.50203525,0.156596134,-0.777071232,0.770824121,-0.848359878,47.08,-0.3,2.571428571,3.428571429,3.142857143,3.625,4.555555556,1.5,3,3,4,2
2038,25,3.736263736,3.629120879,4.019230769,3.450549451,4.027472527,2.467032967,4.098901099,3.895604396,4.225274725,3.879120879,4.307692308,1,-0.843173031,-0.225327587,0.364405581,-0.570513687,0.616899957,-0.242074275,0.388996503,51.96,0.9,3.714285714,2.857142857,4.142857143,2.5,6.222222222,2.5,3.5,7,7,7
laura14,16,4.216981132,3.660377358,3.95754717,3.636792453,4.202830189,2.976415094,4.240566038,3.797169811,4.193396226,3.514150943,4.58490566,1,-0.827416461,0.080583849,0.478638803,0.41507469,-0.520489956,-0.330385668,0.668080219,52.94,0.1,3.142857143,3.571428571,3.714285714,3.25,3.777777778,2,4.5,2,2.5,4.5
2056,24,4.026595745,3.537234043,4.082446809,3.654255319,3.638297872,2.920212766,4.287234043,3.696808511,4.356382979,3.505319149,4.090425532,1,-0.715512654,0.109267291,0.028586266,0.024738026,-0.548013301,0.121128292,-0.230379393,59.9,1.1,4.142857143,3.285714286,4.714285714,3.5,5.666666667,6,3.5,5,5.5,6
laura20,29,5.315934066,3.406593407,4.046703297,4.214285714,3.917582418,3.604395604,4.521978022,3.428571429,4.791208791,3.021978022,4.620879121,1,-0.692681705,1.029139179,-0.448866772,2.668197311,-2.054294417,1.325704252,0.214105143,61.32,-0.8,2,2.142857143,2.571428571,3.25,4.111111111,2.5,3,6,4,4.5
laura15,30,3.604651163,3.511627907,3.779069767,2.936046512,3.761627907,2.406976744,4.488372093,3.755813953,4.081395349,3.825581395,3.88372093,1,-0.626761359,-1.070418843,-0.064996618,-0.84035169,0.45004986,-0.640656034,-0.034098238,65.42,0.9,4.285714286,2.714285714,4,4.125,5,2.5,3.5,3,5.5,6
laura16,36,4.297752809,3.558988764,4.370786517,3.853932584,4.337078652,3.095505618,4.612359551,3.882022472,4.483146067,3.56741573,4.634831461,1,-0.560680232,0.43724503,0.108093362,0.580676407,-0.354495924,0.472293665,0.881738176,69.53,0.6,3.571428571,3.857142857,4,3.125,4.888888889,5.5,3,5.5,3,5.5
laura23,33,3.875,3.288043478,3.869565217,3.510869565,3.201086957,2.570652174,4.380434783,3.72826087,4.081521739,3.730769231,3.972826087,1,-0.52546912,-0.126249434,-0.882131837,-0.286070373,0.154577855,-0.640305903,-0.926205543,71.72,0.9,4.285714286,4,4.571428571,4.625,5.555555556,7,2.5,4,2,7
2178,2,3.816513761,3.591743119,4.032110092,3.45412844,3.435779817,2.633027523,4.041284404,3.683486239,3.972477064,3.830275229,3.967889908,1,-0.510355675,-0.219448957,0.22780088,-0.405981484,0.464677694,-0.942386852,-0.552689184,72.66,0.6,3.571428571,4.285714286,4.285714286,5,4.111111111,2.5,4,4,1.5,6.5
laura8,28,4.066489362,3.75,3.989361702,3.260638298,3.691489362,2.622340426,4.079787234,3.941489362,4.265957447,3.824468085,4.111702128,1,-0.494116761,-0.537264104,0.806183157,0.10652971,0.446580348,-0.129372987,-0.145724531,73.67,0.9,4,3.285714286,4.428571429,2.75,6.222222222,4.5,4,7,7,6
laura19,31,5.430107527,3.384408602,4.174731183,5.591397849,4.849462366,4.698924731,5.548387097,3.483870968,5.408602151,3.043010753,5.129032258,1,-0.32256308,3.291099871,-0.529945698,2.902280864,-1.988748152,3.036037858,1.697202692,84.34,0.6,4,3.714285714,3.857142857,3.75,6,3,2,6,4,4.5
2183,22,3.657894737,3.621052632,3.971052632,3.405263158,3.494736842,2.352631579,3.984210526,3.910526316,4.131578947,4.278947368,3.868421053,1,-0.250533044,-0.299712099,0.334918515,-0.731189325,1.862916603,-0.501634951,-0.458858407,88.82,0.5,3.857142857,3.857142857,3.857142857,3.875,5.444444444,7,3.5,4,5,7
laura5,27,4.152173913,3.527173913,4.027173913,3.891304348,3.02173913,2.967391304,4.27173913,3.619565217,4.467391304,3.576086957,4.032608696,1,-0.18847145,0.498629618,-0.008180546,0.282204022,-0.327472969,0.428649041,-1.211639652,92.68,1,3.857142857,3,4.142857143,3.25,5.555555556,5,2,6,4,4.5
2035,1,4.151785714,3.410714286,4.013392857,3.928571429,3.8125,3.053571429,4.258928571,3.723214286,4.214285714,3.660714286,4.508928571,1,-0.102131875,0.55984226,-0.433806173,0.281408119,-0.063740916,-0.272516576,0.046865278,98.05,0.7,3,3.428571429,3.285714286,2.625,4.888888889,4.5,2,6,6,4.5
2004,6,4.14953271,3.397196262,3.985981308,3.728971963,3.280373832,3.018691589,4.121495327,3.476635514,4.303738318,3.38317757,4.453271028,1,-0.086857648,0.231992309,-0.483210568,0.276788909,-0.928654516,-0.02471055,-0.800019579,99,0.8,3.714285714,3.285714286,4,3.875,5.111111111,3.5,2,5.5,5,4.5
2086,21,3.384615385,3.428571429,4.197802198,2.752747253,3.961538462,2.214285714,3.873626374,3.835164835,3.917582418,3.851648352,3.956043956,1,-0.019811833,-1.371495065,-0.368543576,-1.291478916,0.531284754,-1.094458714,0.284061687,103.17,0.3,3.428571429,3.428571429,3.714285714,3.375,5.555555556,4.5,4,6,6,6
laura3,11,3.518181818,3.9,4.45,2.872727273,4.7,2.436363636,4.272727273,4.290909091,3.9,4.354545455,4.218181818,1,0.001411303,-1.174423176,1.354388966,-1.017635021,2.098509985,-1.143166397,1.459331635,104.49,-0.3,2.571428571,1.285714286,3,1.75,6.444444444,2,5.5,5,7,7
2166,9,4.121495327,3.172897196,3.654205607,3.869158879,2.728971963,2.91588785,3.887850467,3.439252336,4.981308411,3.598130841,4.205607477,1,0.111385733,0.462254817,-1.302957575,0.219305408,-0.258775553,1.852327616,-1.677581932,111.33,0.4,3.571428571,3.285714286,3.142857143,3.375,4.333333333,2,2,7,4.5,3.5
2034,19,4.555851064,3.563829787,4.151595745,4.14893617,3.808510638,3.345744681,4.60106383,3.734042553,4.430851064,3.287234043,4.622340426,1,0.20994469,0.92179999,0.125785875,1.109841032,-1.227652294,0.327423462,0.040516163,117.46,1.3,4.142857143,3.714285714,4.285714286,4,5.666666667,4.5,2.5,6,6,6
2125,20,3.039893617,3.938829787,4.372340426,2.159574468,4.617021277,1.707446809,3.680851064,4.393617021,3.877659574,4.356382979,3.468085106,1,0.221681727,-2.345804628,1.496300398,-1.998242954,2.104236433,-1.20505495,1.327270052,118.19,0.1,3,3.142857143,3.285714286,3.625,4.777777778,2.5,3.5,4.5,4.5,2.5
2106,5,4.180555556,3.814814815,4.24537037,3.75462963,3.902777778,3.00462963,4.458333333,3.791666667,4.259259259,3.875,4.324074074,1,0.333424752,0.274136033,1.043062211,0.34039334,0.604057677,-0.147928638,0.19054339,125.14,0.8,3.714285714,3.857142857,4,3,6,3,2.5,5,7,5
laura2,10,3.795238095,3.733333333,4.242857143,3.323809524,3.647619048,2.619047619,4.161904762,4.047619048,4.161904762,3.914285714,3.99047619,1,0.389537437,-0.433502887,0.745271399,-0.44960181,0.726487418,-0.417624879,-0.215544635,128.63,1.1,3.857142857,3.142857143,3.857142857,2.875,5.444444444,7,2,6,6,6.5
